,0,1,2
921,921,76,540
922,922,76,540
923,923,76,540
924,924,604,540
925,925,604,540
926,926,604,540
927,927,604,540
928,928,552,572
929,929,552,572
930,930,552,572
931,931,552,572
932,932,568,572
933,933,568,572
934,934,568,572
935,935,568,572
936,936,556,572
937,937,556,572
938,938,552,572
939,939,552,572
940,940,572,572
941,941,572,572
942,942,568,572
943,943,568,572
944,944,556,572
945,945,556,572
946,946,552,572
947,947,552,572
948,948,572,572
949,949,572,572
950,950,568,572
951,951,568,572
952,952,556,572
953,953,556,572
954,954,556,572
955,955,556,572
956,956,572,572
957,957,572,572
958,958,572,572
959,959,572,572
960,960,64,0
961,961,64,0
962,962,64,0
963,963,64,0
964,964,592,540
965,965,592,540
966,966,592,540
967,967,592,540
968,968,68,540
969,969,68,540
970,970,64,0
971,971,64,0
972,972,596,540
973,973,596,540
974,974,592,540
975,975,592,540
976,976,76,540
977,977,76,540
978,978,72,540
979,979,72,540
980,980,604,540
981,981,604,540
982,982,600,540
983,983,600,540
984,984,76,540
985,985,76,540
986,986,76,540
987,987,76,540
988,988,604,540
989,989,604,540
990,990,604,540
991,991,604,540
992,992,552,572
993,993,552,572
994,994,552,572
995,995,552,572
996,996,568,572
997,997,568,572
998,998,568,572
999,999,568,572
1000,1000,556,572
1001,1001,556,572
1002,1002,552,572
1003,1003,552,572
1004,1004,572,572
1005,1005,572,572
1006,1006,568,572
1007,1007,568,572
1008,1008,556,572
1009,1009,556,572
1010,1010,552,572
1011,1011,552,572
1012,1012,572,572
1013,1013,572,572
1014,1014,568,572
1015,1015,568,572
1016,1016,556,572
1017,1017,556,572
1018,1018,556,572
1019,1019,556,572
1020,1020,572,572
1021,1021,572,572
1022,1022,572,572
1023,1023,572,572
